name,year,price,bodyPercent,Tanning,Sugar,Acidic
"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2020",2020,$250,78.0466%;,39.5604%;,16.5691%;,46.7192%;
"E. Guigal
Ermitage Ex-Voto 2018",2018,$500,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Stéphane Usseglio
Fragments Châteauneuf du Pape 2018",2018,$75,85%;,39.8291%;,0px;,44.3797%;
"Paul Jaboulet Aîné
Hermitage La Petite Chapelle 2014",2014,$300,85%;,67.2871%;,11.9874%;,53.9848%;
"E. Guigal
Côte-Rôtie La Mouline 2018",2018,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Côte-Rôtie La Turque 2018",2018,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;
"M. Chapoutier
Ermitage l'Ermite 2011",2011,$905.09,81.8494%;,69.2983%;,10.3532%;,56.2876%;
"Domaine Jean-Louis Chave
Clos Florentin 2015",2015,$399.99,75.4618%;,52.5616%;,12.5493%;,54.532%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2005",2005,$998,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"Domaine Jean-Louis Chave
L'Hermitage 2014",2014,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Landonne 2015",2015,$922,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Domaine Jean-Louis Chave
L'Hermitage 2018",2018,$549.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"Domaine Jean-Louis Chave
L'Hermitage 2020",2020,$499.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Landonne 2019",2019,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2015",2015,$530.95,85%;,40.5755%;,11.5164%;,44.3917%;
"E. Guigal
Côte-Rôtie La Mouline 2019",2019,$501.50,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Ermitage Ex-Voto 2010",2010,$395.95,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"E. Guigal
Côte-Rôtie La Mouline 1986",1986,$419.99,66.6169%;,64.1945%;,10.2499%;,64.353%;
"E. Guigal
Côte-Rôtie La Turque 1998",1998,$866.24,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2020",2020,$597.44,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"E. Guigal
Côte-Rôtie La Turque 2017",2017,$438.59,69.941%;,66.4626%;,10.2517%;,64.435%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2020",2020,$439.99,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Côte-Rôtie La Turque 2016",2016,$627,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château de Beaucastel
Hommage à Jacques Perrin Châteauneuf-du-Pape 2017",2017,$690,83.3728%;,39.9899%;,11.8831%;,45.2795%;
"Domaine Jean-Louis Chave
L'Hermitage 2012",2012,$833,80.8495%;,69.4019%;,8.80194%;,55.717%;
"E. Guigal
Côte-Rôtie La Mouline 2012",2012,$543,66.6169%;,64.1945%;,10.2499%;,64.353%;
"Henri Bonneau
Chateauneuf-du-Pape Réserve des Célestins 2009",2009,$790,79.5764%;,42.9762%;,17.9771%;,45.7554%;
"Jean-Michel Gerin
La Landonne Côte-Rôtie 2016",2016,$416,68.4601%;,59.1367%;,13.7056%;,66.4986%;
"Paul Autard
Juline Châteauneuf-du-Pape 2019",2019,$74.94,81.6464%;,42.0528%;,15.4206%;,41.7612%;
"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2018",2018,$149.94,73.1031%;,63.6177%;,17.1175%;,63.7115%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2020",2020,$459,85%;,40.5755%;,11.5164%;,44.3917%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2017",2017,$560.50,85%;,40.5755%;,11.5164%;,44.3917%;
"Thierry Allemand
Cornas 'Reynard' 2019",2019,$530.95,80.3692%;,55.9627%;,5.56121%;,58.1666%;
"Domaine Jean-Louis Chave
Clos Florentin 2018",2018,$234.82,75.4618%;,52.5616%;,12.5493%;,54.532%;
"Domaine de Marcoux
Châteauneuf-du-Pape Vieilles Vignes 2019",2019,$200.55,83.5092%;,46.2699%;,18.4849%;,45.7734%;
"Domaine Jean-Louis Chave
Clos Florentin 2017",2017,$234.82,75.4618%;,52.5616%;,12.5493%;,54.532%;
"E. Guigal
Côte-Rôtie La Turque 2019",2019,$501.50,69.941%;,66.4626%;,10.2517%;,64.435%;
"Château La Nerthe
Cuvée des Cadettes Châteauneuf-du-Pape 2016",2016,$353.95,84.605%;,39.6536%;,12.6053%;,44.1185%;
"Domaine Jean-Louis Chave
Clos Florentin 2020",2020,$271.35,75.4618%;,52.5616%;,12.5493%;,54.532%;
"E. Guigal
Côte-Rôtie La Landonne 2018",2018,$501.50,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"E. Guigal
Côte-Rôtie La Landonne 2008",2008,$346.95,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"Johann Michel
Mère Michel 2019",2019,$170.09,81.5384%;,44.7115%;,17.5%;,57.8846%;
"Domaine du Tunnel
Pur Noir 2020",2020,$236.24,85%;,52.8542%;,20.151%;,52.4115%;
"Guy Bernard
Côte Brune Côte-Rôtie 2020",2020,$99.99,68.9175%;,58.4346%;,0px;,68.0982%;
"E. Guigal
Côte-Rôtie La Mouline 2017",2017,$438.59,66.6169%;,64.1945%;,10.2499%;,64.353%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2015",2015,$576.29,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Ermitage Ex-Voto 2017",2017,$407.99,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Delas
Les Bessards Hermitage 2014",2014,$229.99,85%;,67.9345%;,9.84127%;,53.7901%;
"Pierre Usseglio
Châteauneuf-du-Pape Cuvée de mon Aïeul 2018",2018,$79.99,85%;,41.0312%;,19.9819%;,43.1994%;
"Domaine Jean-Louis Chave
L'Hermitage 1998",1998,$749.99,80.8495%;,69.4019%;,8.80194%;,55.717%;
"M. Chapoutier
Ermitage l'Ermite 1997",1997,$279.99,81.8494%;,69.2983%;,10.3532%;,56.2876%;
"E. Guigal
Côte-Rôtie La Landonne 2017",2017,$567,74.4159%;,70.7091%;,9.99265%;,64.9285%;
"E. Guigal
Ermitage Ex-Voto 2015",2015,$461,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Delas
Les Bessards Hermitage 2013",2013,$448,85%;,67.9345%;,9.84127%;,53.7901%;
"Pegau
Cuvée Da Capo Châteauneuf-du-Pape 2016",2016,$790,85%;,40.9855%;,19.5418%;,44.77%;
"E. Guigal
Côte-Rôtie La Mouline 2014",2014,$533,66.6169%;,64.1945%;,10.2499%;,64.353%;
"M. Chapoutier
Châteauneuf-du-Pape Barbe Rac 2015",2015,$256.67,83.0157%;,39.587%;,14.459%;,44.8634%;
"M. Chapoutier
Ermitage l'Ermite 2018",2018,$980,81.8494%;,69.2983%;,10.3532%;,56.2876%;
"Jean-Michel Gerin
La Landonne Côte-Rôtie 2015",2015,$416,68.4601%;,59.1367%;,13.7056%;,66.4986%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2006",2006,$300.15,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Clos Saint Jean
Chateauneuf-du-Pape La Combe Des Fous 2018",2018,$262.50,85%;,43.9023%;,16.0564%;,44.2861%;
"Clos Saint Jean
Chateauneuf-du-Pape Sanctus Sanctorum 2018",2018,$559.69,85%;,40.5755%;,11.5164%;,44.3917%;
"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2018",2018,$135.04,85%;,42.9088%;,17.1178%;,47.2335%;
"Clos Saint Jean
Châteauneuf-du-Pape Deus Ex Machina 2020",2020,$124.94,85%;,42.125%;,23.26%;,43.3378%;
"Clos Saint Jean
Chateauneuf-du-Pape La Combe Des Fous 2020",2020,$119.94,85%;,43.9023%;,16.0564%;,44.2861%;
"Domaine de la Vieille Julienne
Réservé Châteauneuf-du-Pape 2018",2018,$274.99,83.7002%;,41.2905%;,24.6458%;,45.3475%;
"Ogier
Clos de l'Oratoire des Papes Les Chorégies Châteauneuf-du-Pape 2019",2019,$142.99,77.0282%;,40.9164%;,8.77221%;,45.2242%;
"Delas
La Landonne Côte-Rôtie 2019",2019,$284.99,68.1933%;,66.917%;,14.8564%;,66.3782%;
"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2019",2019,$99.99,82.4248%;,40.3363%;,8.72567%;,45.219%;
"Château La Nerthe
Châteauneuf-du-Pape 2020",2020,$84.99,83.2776%;,37.7941%;,7.91678%;,45.1038%;
"Domaine de la Vieille Julienne
Réservé Châteauneuf-du-Pape 2016",2016,$300,83.7002%;,41.2905%;,24.6458%;,45.3475%;
"Domaine Bois de Boursan
Cuvée des Felix Châteauneuf-du-Pape 2010",2010,$200,85%;,50.7418%;,4.39716%;,48.4381%;
"Château La Nerthe
Les Clavelles Châteauneuf du Pape 2015",2015,$271.35,66.5715%;,34.0026%;,11.7088%;,52.3918%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 1991",1991,$649,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Domaine Jean-Louis Chave
Saint-Joseph 2021",2021,$112.10,72.4663%;,49.3389%;,7.53913%;,55.1467%;
"E. Guigal
Saint-Joseph Vignes de L'Hospice 2019",2019,$105.02,75.2537%;,50.7448%;,9.77772%;,54.6425%;
"La Boutinière
Vieilles Vignes La Crau Grand Réserve Châteauneuf-du-Pape 2018",2018,$54.95,72.5%;,28.5%;,2.5%;,47.5%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2011",2011,$379.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2015",2015,$153.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
"Michel & Stéphane Ogier
La Belle Hélène Côte-Rôtie 2017",2017,$625.79,71.3621%;,71.4033%;,8.59553%;,63.3428%;
"Maison Denuziere
Côte-Rôtie 2018",2018,$109.19,79.7881%;,80.2336%;,0.0847749%;,64.2595%;
"Michel & Stéphane Ogier
Lancement Côte-Rôtie 2016",2016,$625.79,72.765%;,63.8586%;,10.7637%;,64.6913%;
"Clos Saint Jean
Chateauneuf-du-Pape La Combe Des Fous 2021",2021,$136.49,85%;,43.9023%;,16.0564%;,44.2861%;
"Château La Nerthe
Châteauneuf-du-Pape 2019",2019,$73.45,83.2776%;,37.7941%;,7.91678%;,45.1038%;
"Pères de l'Église
L'Heritage de Pollus Châteauneuf-du-Pape 2019",2019,$68.24,85%;,44.7388%;,8.17164%;,46.4179%;
"E. Guigal
Château d'Ampuis Côte-Rôtie 2018",2018,$173.39,73.0045%;,66.6602%;,9.70693%;,64.9365%;
"E. Guigal
Saint-Joseph Vignes de L'Hospice 2018",2018,$96.89,75.2537%;,50.7448%;,9.77772%;,54.6425%;
"Domaine Saint Préfert
Collection Charles Giraud Châteauneuf-du-Pape 2019",2019,$168.29,85%;,41.7795%;,19.4809%;,44.3795%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2010",2010,$329.99,85%;,43.9393%;,5.10871%;,44.7253%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 1998",1998,$269.99,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 1985",1985,$449.99,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2006",2006,$299.99,81.8996%;,39.3383%;,14.0024%;,44.2708%;
"Roger Sabon
Châteauneuf-du-Pape Le Secret Des Sabon 2001",2001,$449.99,78.0466%;,39.5604%;,16.5691%;,46.7192%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2014",2014,$399.99,69.3427%;,66.1683%;,5.99777%;,64.7653%;
"Château de Beaucastel
Châteauneuf-du-Pape 2009",2009,$229.99,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Delas
Les Bessards Hermitage 2016",2016,$448,85%;,67.9345%;,9.84127%;,53.7901%;
"Château de Beaucastel
Châteauneuf-du-Pape 2020",2020,$179.99,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2009",2009,$96,85%;,50.2869%;,9.1738%;,56.1419%;
"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2019",2019,$203.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;
"Château de Nalys
Châteauneuf-du-Pape Rouge 2018",2018,$119.99,83.6389%;,38.808%;,9.13121%;,44.7517%;
"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2020",2020,$101.99,82.4248%;,40.3363%;,8.72567%;,45.219%;
"Nicolas Champagneux
Les Grandes Places Côte Rôtie 2015",2015,$118.33,73.5034%;,62.9184%;,0px;,66.733%;
"d'Arbousset
Lirac 2017",2017,$29.99,67.9049%;,50.8472%;,8.91341%;,56.1837%;
"Domaine Garon
Lancement Côte-Rôtie 2016",2016,$166.99,67.3511%;,63.6513%;,7.80573%;,66.2548%;
"Rotem & Mounir Saouma
Omnia Châteauneuf-du-Pape 2017",2017,$149.99,78.2383%;,39.6449%;,8.45092%;,45.4603%;
"Domaine du Vieux Lazaret
Cuvée Exceptionnelle Châteauneuf-du-Pape 2016",2016,$174.99,84.8211%;,38.4035%;,12.4306%;,43.2552%;
"Château de Beaucastel
Châteauneuf-du-Pape 2006",2006,$199.99,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Jean-Luc Colombo
Syrah Cornas La Louvée 2013",2013,$122.67,75.0205%;,47.2005%;,5.15082%;,54.3777%;
"Château de Saint Cosme
Gigondas Le Poste 2021",2021,$175.99,62.5517%;,51.3938%;,16.3194%;,56.8169%;
"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2017",2017,$249.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;
"Nicolas Champagneux
Les Grandes Places Côte Rôtie 2016",2016,$118.33,73.5034%;,62.9184%;,0px;,66.733%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2016",2016,$104.99,85%;,39.0621%;,17.1404%;,43.2967%;
"Rotem & Mounir Saouma
Arioso Châteauneuf-du-Pape 2020",2020,$229.99,75.4475%;,39.1928%;,17.6076%;,48.3246%;
"Château de la Font du Loup
Chateauneuf-du-Pape Rouge 2020",2020,$69.99,81.5186%;,39.7631%;,6.94953%;,46.7445%;
"Domaine Garon
Lancement Côte-Rôtie 2013",2013,$136.99,67.3511%;,63.6513%;,7.80573%;,66.2548%;
"Jean-Michel Gerin
Les Grandes Places Côte-Rôtie 2019",2019,$192,73.1031%;,63.6177%;,17.1175%;,63.7115%;
"Jean-Michel Gerin
Champin le Seigneur Côte-Rôtie 2017",2017,$80,70.1467%;,67.0028%;,6.40203%;,64.9755%;
"M. Chapoutier
Ermitage Le Méal 2011",2011,$659.17,82.9412%;,67.4531%;,14.5911%;,55.5257%;
"Domaine Brun Avril
Châteauneuf-du-Pape Rouge 2019",2019,$55,84.9386%;,39.5589%;,0.653793%;,45.1627%;
"Francois Villard
Côte-Rôtie Le Gallet Blanc 2017",2017,$80,74.9826%;,65.8136%;,6.67641%;,63.3228%;
"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2015",2015,$177.24,85%;,42.9088%;,17.1178%;,47.2335%;
"Domaine de Cristia
Châteauneuf-du-Pape Vieilles Vignes 2020",2020,$131.75,83.3359%;,39.6296%;,20.706%;,42.3198%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cuvée Barberini 2020",2020,$93.95,85%;,39.0621%;,17.1404%;,43.2967%;
"Château Mont-Redon
Le Plateau Châteauneuf-du-Pape 2017",2017,$244.76,80.0888%;,40.1521%;,7.30425%;,47.0465%;
"Vignobles Mayard
La Crau de ma Mère Châteauneuf-du-Pape Rouge 2020",2020,$74.27,85%;,41.1242%;,10.4812%;,44.292%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2020",2020,$98.60,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine La Barroche
Châteauneuf-du-Pape 2020",2020,$71.40,85%;,41.948%;,12.8143%;,43.6772%;
"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2020",2020,$99.99,85%;,38.6655%;,12.9217%;,40.9537%;
"Domaine Saint Préfert
Domaine Isabel Ferrando Colombis Châteauneuf-du-Pape 2020",2020,$195.50,84.802%;,43.3389%;,15.1412%;,46.4238%;
"Château Mont-Redon
Châteauneuf-du-Pape 2020",2020,$70.34,85%;,38.4515%;,6.41407%;,43.9535%;
"Laurent Fayolle
Les Diognières Hermitage 2021",2021,$118.16,85%;,57.2817%;,0px;,56.5079%;
"Domaine Georges Vernay
Blonde du Seigneur Côte-Rôtie 2019",2019,$146.15,69.2503%;,66.7818%;,5.97317%;,64.8773%;
"Domaine de la Solitude - Famille Lancon
Châteauneuf-du-Pape Cornelia Constanza 2020",2020,$119.27,81.2009%;,43.97%;,22.6227%;,50.3302%;
"Clos du Mont-Olivet
Châteauneuf-du-Pape La Cuvée du Papet 2019",2019,$140.10,85%;,42.9088%;,17.1178%;,47.2335%;
"Domaine Olivier Hillaire
Châteauneuf-du-Pape 2020",2020,$44.94,85%;,36.8048%;,6.55735%;,41.4485%;
"Pierre Usseglio
Châteauneuf-du-Pape 2019",2019,$49.94,84.5346%;,39.5271%;,9.93002%;,44.4859%;
"Domaine Giraud
Grenaches de Pierre Châteauneuf-du-Pape 2020",2020,$129.94,83.3051%;,42.673%;,19.6502%;,45.341%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2020",2020,$179.94,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Domaine de Beaurenard
Châteauneuf-du-Pape 2020",2020,$54.94,84.5972%;,41.9308%;,6.78568%;,44.479%;
"Pierre Gaillard
Côte-Rôtie Rose Pourpre 2018",2018,$134.94,69.9661%;,66.1144%;,7.11668%;,65.0173%;
"M. Chapoutier
Châteauneuf-du-Pape La Bernardine 2020",2020,$56.99,82.6599%;,38.4786%;,7.20969%;,44.5317%;
"Delas
Domaine des Tourettes Hermitage Rouge 2019",2019,$101.99,84.5011%;,68.8611%;,8.14373%;,55.9865%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2018",2018,$102.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Ogier
Clos de l'Oratoire des Papes Châteauneuf-du-Pape 2021",2021,$76.99,84.1766%;,38.5062%;,7.62827%;,45.19%;
"Le Vieux Donjon
Châteauneuf-du-Pape 2020",2020,$69.99,83.7684%;,40.0149%;,10.5809%;,43.9631%;
"Domaine des Espiers
Gigondas Les Grames 2019",2019,$31.99,67.971%;,46.0533%;,7.27899%;,51.3726%;
"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2020",2020,$145,81.8996%;,39.3383%;,14.0024%;,44.2708%;
"Domaine de la Janasse
Châteauneuf-du-Pape Vieilles Vignes 2019",2019,$119.99,85%;,42.0881%;,17.4804%;,44.0526%;
"Domaine du Vieux Télégraphe
Châteauneuf-du-Pape (La Crau) 2021",2021,$89.99,82.4248%;,40.3363%;,8.72567%;,45.219%;
"Brotte
Secret Barville Chateauneuf-du-Pape 2021",2021,$60.99,85%;,40.7434%;,5.44852%;,42.0191%;
"Domaine Jean-Louis Chave
Saint-Joseph 2020",2020,$105.02,85%;,40.7434%;,5.44852%;,42.0191%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2018",2018,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine Jean-Louis Chave
Hermitage Selection Farconnet 2019",2019,$88.45,85%;,69.0974%;,6.74481%;,55.4596%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2019",2019,$223.02,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Auguste Clape
Renaissance Cornas 2018",2018,$105.02,83.1458%;,52.7518%;,6.52017%;,56.8761%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Les Origines 2018",2018,$70.75,85%;,42.4578%;,12.004%;,42.878%;
"Bernard Burgaud
Côte-Rôtie 2019",2019,$82.55,70.9512%;,64.152%;,6.54445%;,63.6708%;
"Delas
Domaine des Tourettes Hermitage Rouge 2020",2020,$104.95,84.5011%;,68.8611%;,8.14373%;,55.9865%;
"Château de Saint Cosme
Saint Cosme Côte-Rotie 2020",2020,$120.99,71.064%;,68.5065%;,6.537%;,64.8061%;
"M. Chapoutier
Crozes-Ermitage Les Varonniers 2017",2017,$99.98,63.7708%;,51.2941%;,8.65578%;,46.5254%;
"E. Guigal
Châteauneuf-du-Pape 2001",2001,$69.99,84.6865%;,40.7267%;,6.61612%;,45.141%;
"Domaine de la Janasse
Châteauneuf-du-Pape Chaupin 2020",2020,$99.99,82.2499%;,40.5419%;,17.6465%;,44.6634%;
"M. Chapoutier
Côte-Rôtie La Mordorée 2007",2007,$115.95,69.3427%;,66.1683%;,5.99777%;,64.7653%;
"Domaine de La Chapelle
Hermitage La Chapelle Rouge 2009",2009,$269.95,83.1154%;,67.4268%;,9.73907%;,54.61%;
"Le Clos des Cazaux
Prestige 2020",2020,$49.99,67.6143%;,44.0044%;,3.38889%;,49.843%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2021",2021,$141.74,85%;,43.9393%;,5.10871%;,44.7253%;
"La Boutinière
Châteauneuf-du-Pape Rouge 2020",2020,$52.49,83.0601%;,37.2028%;,4.21383%;,47.3101%;
"Yves Cuilleron
Côte-Rôtie Bassenon 2020",2020,$98.69,71.2426%;,66.6807%;,5.25286%;,66.5802%;
"Domaine du Père Caboche
Châteauneuf-du-Pape 2022",2022,$34.60,85%;,40.0601%;,9.67762%;,44.0673%;
"Château Pesquie
Ventoux Artemia 2020",2020,$36.74,66.816%;,48.6745%;,13.5012%;,54.8884%;
"Domaine de Saje
Châteauneuf-du-Pape Rouge 2021",2021,$53.54,85%;,33.3252%;,0px;,41.0622%;
"Paul Autard
Châteauneuf-du-Pape 2020",2020,$47.24,85%;,39.3746%;,6.73618%;,45.5976%;
"Pères de l'Église
Le Calice de Saint Pierre Châteauneuf-du-Pape Rouge 2022",2022,$48.29,82.8158%;,38.2891%;,9.19918%;,46.4709%;
"Clos des Papes (Paul Avril)
Châteauneuf-du-Pape 2021",2021,$131.24,81.8996%;,39.3383%;,14.0024%;,44.2708%;
"Louis Barruol
La Boisselée Côte-Rôtie 2019",2019,$102.89,75.1942%;,69.4771%;,4.75598%;,68.4353%;
"Louis Barruol
La Pierrelle Hermitage 2020",2020,$97.64,85%;,76.3996%;,10.5181%;,54.4985%;
"Château de Saint Cosme
Gigondas Le Claux 2021",2021,$119.99,65.0874%;,53.6339%;,11.3159%;,55.2799%;
"Château de Saint Cosme
Saint Cosme Côte-Rotie 2021",2021,$69.99,71.064%;,68.5065%;,6.537%;,64.8061%;
"Francois Villard
Côte-Rôtie Le Gallet Blanc 2018",2018,$91.79,74.9826%;,65.8136%;,6.67641%;,63.3228%;
"Domaine Lafond
Châteauneuf-du-Pape Roc Epine 2017",2017,$50.99,82.0381%;,36.994%;,6.82043%;,45.7951%;
"Alain Jaume
Domaine Grand Veneur Châteauneuf-Du-Pape Vieilles Vignes 2019",2019,$94.99,85%;,43.9393%;,5.10871%;,44.7253%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2013",2013,$499.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Pegau
Châteauneuf-du-Pape Cuvée Laurence 2019",2019,$125.99,83.5078%;,40.4617%;,13.9384%;,44.3571%;
"Domaine Jamet
Côte-Rôtie 2008",2008,$289.99,71.4479%;,68.9926%;,7.55839%;,65.6606%;
"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
"Domaine de Saje
Châteauneuf-du-Pape Rouge 2019",2019,$49.99,85%;,33.3252%;,0px;,41.0622%;
"Jean Baptiste Souillard
Côteaux de Bassenon Côte-Rôtie 2017",2017,$109.99,70.6743%;,76.8256%;,0px;,68.3553%;
"Pegau
Cuvée Réservée Châteauneuf-du-Pape Rouge 2020",2020,$79.99,85%;,42.4106%;,12.0861%;,44.4954%;
"Château de Beaucastel
Châteauneuf-du-Pape 1995",1995,$343,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2020",2020,$72.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
"E. Guigal
Ermitage Ex-Voto 2013",2013,$518,82.7338%;,69.9444%;,13.4667%;,56.4577%;
"Château de Beaucastel
Châteauneuf-du-Pape 2001",2001,$271,83.2174%;,39.8547%;,10.6892%;,45.0798%;
"Clos du Caillou
La Réserve Châteauneuf-du-Pape 2020",2020,$340,82.9909%;,40.5243%;,18.2929%;,42.0424%;
"Domaine Philippe et Vincent Jaboulet
Cornas 2017",2017,$91.99,83.4781%;,46.2292%;,14.9848%;,52.4382%;
"Domaine Alain Verset
Cornas 2017",2017,$56.99,83.1789%;,53.9465%;,6.47987%;,57.4998%;
"Jean-Luc Colombo
Syrah Cornas Les Ruchets 2015",2015,$106.67,85%;,50.2869%;,9.1738%;,56.1419%;
"Domaine de Cristia
Châteauneuf-du-Pape Renaissance 2017",2017,$333.33,85%;,38.6655%;,12.9217%;,40.9537%;
"Domaine du Vieux Télégraphe
Télégramme Châteauneuf-du-Pape 2019",2019,$74.99,82.0464%;,40.35%;,5.56647%;,47.0839%;
